The Peep Tempel	Joy
Car Seat Headrest	Teens of Denial
Summer Cannibals	Full Of It
Chook Race	Around The House
The Coathangers	Nosebleed Weekend
LVL UP	Return To Love
Adam Strangler	Ideas Of Order
The Monkees	Good Times!
Terry	Terry HQ
Amber Arcades	Fading Lines
Dinosaur Jr.	Give A Glimpse of What Yer Not
Heaters	Baptistina
La Femme	Mystère
King Gizzard and The Lizard Wizard	Nonagon Infinity
Ringo Deathstarr	Pure Mood (2015)
Mitski	Puberty 2
The Kills	Ash andIce
Yak	Alas Salvation
The Veils	Total Depravity
Pet Sun	Pet Sun
The Sun Days	Album
Hot Panda	Bad Pop
Thee Oh Sees	A Weird Exits
The KVB	…Of Desire
Hallelujah The Hills	A Band Is Something To Figure Out
Susan	Never Enough
Milk Lines	Ceramic (2015)
Dutch Head	The Music of Sound
of Montreal	Innocence Reaches
The Thermals	We Disappear
Fat White Family	Songs For Our Mothers
Levitation Room	Ethos
Pixies	Head Carrier
Whyte Horses	Pop Or Not
Sneaks	Gymnastics
Ranch Ghost	Lookin
Yeasayer	Amen and Goodbye
Pill	Convenience
Tacocat	Lost Time
Plague Vendor	Bloodsweat
Quilt	Plaza
Telegram	Operator
Thao & The Get Down Stay Down	A Man Alive
Allah	Las
Naked Giants	Easy Eating EP
The Wedding Present	Going, Going…
American Wrestlers	Goodbye Terrible Youth
Eagulls	Ullages
Male Gaze	King Leer
Savages	Adore Life
Audacity	Hyper Vessels
Jackie Zealous	Psychic Data
Radiohead	A Moon Shaped Pool
The Brainstems	No Place Else
DTCV	Confusion Moderne
Kid Congo and The Pink Monkey Birds	La Araña Es La Vida
Noun	Throw Your Body On The Gears and Stop The Machine With Your Blood
Heliotropes	Over There That Way
Bob Mould	Patch The Sky
Preoccupations	Preoccupations
Animal  Collective	Painting With
Frightened Rabbit	Painting Of A Panic Attack
Heaven For Real	Kill Your Memory
Haelos	Full Circle
Adult Books	Running From The Blows
Bent Shapes	Wolves of Want
Desert Mountain Tribe	Either That Or The Moon
The Gotobeds	Blood // Sugar // Secs // Traffic
Hurry	Guided Meditation
toyGuitar	Move Like A Ghost
Sofi Tukker	Soft Animals [EP]
T	Rextasy
The Pack A.D.	Positive Thinking
50FootWave	Bath White [EP]
Mueran Humanos	Miseress
Autolux	Pussy's Dead
B Boys	No Worry No Mind
Holy Wave	Freaks of Nurture
Young Rival	Strange Light
Crater	Talk to Me So I Can Fall Asleep
Holy Fuck	Congrats
Parquet Courts	Human Performance
LKKFCT	The Flower Investment Pawn
Spookyland	Beauty Already Beautiful
Psychic Ills	Inner Journey Out
Field Music	Commontime
La Panther Happens	For The Night Crawlers
onDeadWaves	onDeadWaves
Cerise	Smoke Screen Dreams
Higher Authorities	Neptune
The Cave Singers	Banshee
Nots	Cosmetic
The Parrots	Los Niños Sin Miedo
Angel Olsen	My Woman
The Warlocks	Songs From The Pale Eclipse
The Limbos	Eeny Meeny [EP]
CFM	Still Life Of Citrus And Slime
Black Mountain	IV
Cool Ghouls	Animal Races
Drinking Flowers	New Swirled Order
