
#	Numbers	Score	Sum	E/O	Details
1	8 9 17 22 32	66.74	88	3/2	Show
2	6 7 14 29 33	64.83	89	2/3	Show
3	5 8 14 29 32	64.44	88	3/2	Show
4	3 5 14 29 38	64.13	89	2/3	Show
5	1 10 17 28 33	64.0	89	2/3	Show
6	8 9 14 21 36	62.34	88	3/2	Show
7	2 15 17 25 26	61.39	85	2/3	Show
8	9 15 17 20 22	60.75	83	2/3	Show
9	7 9 13 28 32	60.4	89	2/3	Show
10	4 13 16 22 27	57.46	82	3/2	Show


#	Numbers	Score	Sum	E/O	Details
1	6 15 22 25 30	72.23	98	3/2	Show
2	8 10 16 27 37	71.03	98	3/2	Show
3	7 10 23 28 31	69.53	99	2/3	Show
4	3 5 22 31 38	69.28	99	2/3	Show
5	1 15 17 28 32	67.6	93	2/3	Show
6	5 7 10 37 38	67.38	97	2/3	Show
7	11 13 20 24 31	67.28	99	2/3	Show
8	9 11 14 28 32	67.03	94	3/2	Show
9	2 9 28 29 31	65.18	99	2/3	Show
10	4 8 17 33 34	63.95	96	3/2	Sho

1	1 15 20 32 35	75.13	103	2/3	Show
2	8 10 24 27 39	74.83	108	3/2	Show
3	6 15 20 28 33	74.63	102	3/2	Show
4	10 14 20 27 37	74.58	108	3/2	Show
5	9 16 17 28 35	73.63	105	2/3	Show
6	7 17 23 28 30	72.53	105	2/3	Show
7	13 15 22 27 32	72.29	109	2/3	Show
8	2 12 24 33 35	72.23	106	3/2	Show
9	3 17 25 28 30	71.93	103	2/3	Show
10	4 11 16 37 38	71.88	106	3/2	Show

1	4 15 20 32 39	76.98	110	3/2	Show
2	7 14 22 32 35	76.98	110	3/2	Show
3	6 15 28 29 32	76.08	110	3/2	Show
4	2 17 24 28 39	74.98	110	3/2	Show
5	10 17 20 27 36	74.73	110	3/2	Show
6	1 17 23 34 36	74.48	111	2/3	Show
7	9 18 20 31 32	74.08	110	3/2	Show
8	5 18 25 30 32	73.38	110	3/2	Show
9	8 10 23 32 39	72.78	112	3/2	Show
10	14 17 22 29 37	71.43	119	2/3	Show


#	Numbers	Score	Sum	E/O	Details
1	4 17 25 36 39	70.28	121	2/3	Show
2	4 16 25 37 39	69.88	121	2/3	Show
3	4 15 25 38 39	69.78	121	2/3	Show
4	1 22 24 35 38	69.73	120	3/2	Show
5	4 16 25 36 39	69.58	120	3/2	Show
6	10 15 24 33 38	69.33	120	3/2	Show
7	10 17 24 31 38	69.33	120	3/2	Show
8	1 20 22 38 39	69.23	120	3/2	Show
9	14 15 25 31 36	67.93	121	2/3	Show
10	13 22 25 31 32	66.53	123	2/3	Show


#	Numbers	Score	Sum	E/O	Details
1	1 22 25 33 36	67.5	117	2/3	Show
2	1 18 23 36 39	66.55	117	2/3	Show
3	2 19 23 36 37	66.05	117	2/3	Show
4	8 21 25 31 32	64.2	117	2/3	Show
5	2 23 25 33 34	62.6	117	2/3	Show

1	6 15 22 32 35	78.98	110	3/2	Show
2	4 17 22 32 35	78.58	110	3/2	Show
3	8 17 22 31 32	77.68	110	3/2	Show
4	1 17 24 32 36	76.98	110	3/2	Show
5	9 17 22 24 38	76.98	110	3/2	Show


#	Numbers	Score	Sum	E/O	Details
1	4 17 25 37 38	70.98	121	2/3	Show
2	4 19 25 35 38	69.08	121	2/3	Show
3	4 19 23 37 38	68.58	121	2/3	Show
4	1 17 28 37 38	68.05	121	2/3	Show
5	1 19 28 35 38	66.15	121	2/3	Show


1	6 15 20 25 37	75.53	103	2/3	Show
2	9 15 20 27 32	73.93	103	2/3	Show
3	3 17 23 24 36	71.83	103	2/3	Show
4	8 15 17 28 35	71.79	103	2/3	Show
5	12 13 23 25 30	61.84	103	2/3	Showw


#	Numbers	Score	Sum	E/O	Details
1	9 14 17 22 34	70.83	96	3/2	Show
2	9 12 17 22 36	70.03	96	3/2	Show
3	8 13 17 20 38	69.63	96	3/2	Show
4	6 11 14 27 38	69.23	96	3/2	Show
5	3 6 22 27 38	68.58	96	3/2	Show


#	Numbers	Score	Sum	E/O	Details
1	6 15 17 20 39	72.93	97	2/3	Show
2	3 17 20 22 35	72.53	97	2/3	Show
3	9 15 17 20 36	71.73	97	2/3	Show
4	6 15 22 23 31	71.63	97	2/3	Show
5	8 15 17 22 35	70.4	97	2/3	Show



#	Numbers	Score	Sum	E/O	Details
1	5 12 17 22 39	69.93	95	2/3	Show
2	8 15 17 21 34	69.53	95	2/3	Show
3	5 15 22 23 30	68.63	95	2/3	Show
4	2 16 17 29 31	67.83	95	2/3	Show
5	9 13 20 22 31	65.4	95	2/3	Show


1	6 14 17 22 37	73.63	96	3/2	Show
2	8 15 17 24 32	72.03	96	3/2	Show
3	8 14 17 22 35	72.03	96	3/2	Show
4	6 16 17 20 37	71.93	96	3/2	Show
5	6 8 17 28 37	71.63	96	3/2	Show

1	1 22 24 36 37	70.03	120	3/2	Show
2	1 22 28 33 36	69.73	120	3/2	Show
3	1 20 22 38 39	69.23	120	3/2	Show
4	1 18 24 38 39	69.08	120	3/2	Show
5	2 25 28 31 34	66.13	120	3/2	Show


#	Numbers	Score	Sum	E/O	Details
1	6 15 20 33 38	76.38	112	3/2	Show
2	6 17 24 32 33	75.88	112	3/2	Show
3	5 18 22 32 35	75.58	112	3/2	Show
4	2 15 28 32 35	74.78	112	3/2	Show
5	7 16 28 30 31	72.28	112	3/2	Show
