
#	Numbers	Score	Sum	E/O	Details
1	10 15 24 27 34	77.27	110	3/2	Show
2	12 15 22 23 37	77.26	109	2/3	Show
3	7 10 25 28 35	75.59	105	2/3	Show
4	3 4 20 37 39	74.24	103	2/3	Show
5	4 5 19 33 38	71.44	99	2/3	Show
6	11 14 23 24 39	70.53	111	2/3	Show
7	9 18 19 24 27	68.84	97	2/3	Show
8	6 7 14 23 37	68.1	87	2/3	Show
9	2 4 23 29 36	67.04	94	3/2	Show
10	5 10 16 27 28	64.95	86	3/2	Show


1	4 17 28 31 37	77.22	117	2/3	Show
2	4 19 22 35 37	76.02	117	2/3	Show
3	4 19 28 29 37	75.12	117	2/3	Show
4	2 17 22 37 39	72.69	117	2/3	Show
5	2 19 25 35 36	67.79	117	2/3	Show



#	Numbers	Score	Sum	E/O	Details
1	4 17 24 28 37	81.12	110	3/2	Show
2	8 15 22 28 37	80.72	110	3/2	Show
3	6 17 20 31 36	79.92	110	3/2	Show
4	4 15 24 32 35	79.52	110	3/2	Show
5	9 14 20 28 39	77.92	110	3/2	Show



#	Numbers	Score	Sum	E/O	Details
1	2 19 28 35 37	68.29	121	2/3	Show
2	1 18 25 38 39	67.39	121	2/3	Show
3	2 19 25 37 38	66.99	121	2/3	Show
4	1 22 25 34 39	66.84	121	2/3	Show
5	1 20 25 36 39	66.44	121	2/3	Show



#	Numbers	Score	Sum	E/O	Details
1	6 11 22 27 37	78.59	103	2/3	Show
2	9 15 20 27 32	76.59	103	2/3	Show
3	3 15 23 24 38	74.49	103	2/3	Show
4	8 15 17 29 34	73.25	103	2/3	Show
5	12 17 20 21 33	69.3	103	2/3	Show



#	Numbers	Score	Sum	E/O	Details
1	6 11 20 22 37	75.49	96	3/2	Show
2	8 15 17 20 36	74.29	96	3/2	Show
3	3 15 16 24 38	72.59	96	3/2	Show
4	9 11 16 22 38	72.29	96	3/2	Show
5	9 12 16 28 31	71.09	96	3/2	Show


#	Numbers	Score	Sum	E/O	Details
1	8 11 16 27 33	71.79	95	2/3	Show
2	2 10 17 27 39	71.39	95	2/3	Show
3	5 11 14 27 38	71.39	95	2/3	Show
4	5 11 19 28 32	71.39	95	2/3	Show
5	9 11 17 22 36	69.26	95	2/3	Show


#	Numbers	Score	Sum	E/O	Details
1	2 14 17 22 31	67.7	86	3/2	Show
2	5 12 14 22 33	67.7	86	3/2	Show
3	5 7 14 28 32	67.3	86	3/2	Show
4	8 10 17 20 31	66.9	86	3/2	Show
5	9 11 16 20 30	66.1	86	3/2	Show



#	Numbers	Score	Sum	E/O	Details
1	6 15 17 22 37	77.99	97	2/3	Show
2	6 15 20 25 31	74.79	97	2/3	Show
3	9 11 20 22 35	72.39	97	2/3	Show
4	3 17 19 28 30	71.59	97	2/3	Show
5	8 11 17 22 39	70.26	97	2/3	Show

1	1 15 20 36 37	80.71	109	2/3	Show
2	6 17 22 32 33	80.22	110	3/2	Show
3	4 17 24 32 33	79.42	110	3/2	Show
4	12 15 22 27 33	78.56	109	2/3	Show
5	9 15 25 28 32	78.41	109	2/3	Sho
