1 -  04-06-14-21-30
2 -  04-06-14-24-30
3 -  04-06-14-29-30
4 -  04-06-14-30-40
5 -  04-06-14-30-41
6 -  04-06-14-30-42
7 -  04-06-21-24-30
8 -  04-06-21-29-30
9 -  04-06-21-30-40
10 -  04-06-21-30-41
11 -  04-06-21-30-42
12 -  04-06-24-29-30
13 -  04-06-24-30-40
14 -  04-06-24-30-41
15 -  04-06-24-30-42
16 -  04-06-29-30-40
17 -  04-06-29-30-41
18 -  04-06-29-30-42
19 -  04-06-30-40-41
20 -  04-06-30-40-42
21 -  04-06-30-41-42
22 -  04-06-14-21-24
23 -  04-06-14-21-29
24 -  04-06-14-21-40
25 -  04-06-14-21-41
26 -  04-06-14-21-42
27 -  04-06-14-24-29
28 -  04-06-14-24-40
29 -  04-06-14-24-41
30 -  04-06-14-24-42
31 -  04-06-14-29-40
32 -  04-06-14-29-41
33 -  04-06-14-29-42
34 -  04-06-14-40-41
35 -  04-06-14-40-42
36 -  04-06-14-41-42
37 -  04-06-21-24-29
38 -  04-06-21-24-40
39 -  04-06-21-24-41
40 -  04-06-21-24-42
41 -  04-06-21-29-40
42 -  04-06-21-29-41
43 -  04-06-21-29-42
44 -  04-06-21-40-41
45 -  04-06-21-40-42
46 -  04-06-21-41-42
47 -  04-06-24-29-40
48 -  04-06-24-29-41
49 -  04-06-24-29-42
50 -  04-06-24-40-41
51 -  04-06-24-40-42
52 -  04-06-24-41-42
53 -  04-06-29-40-41
54 -  04-06-29-40-42
55 -  04-06-29-41-42
56 -  04-06-40-41-42
57 -  06-14-21-24-30
58 -  06-14-21-29-30
59 -  06-14-21-30-40
60 -  06-14-21-30-41
61 -  06-14-21-30-42
62 -  06-14-24-29-30
63 -  06-14-24-30-40
64 -  06-14-24-30-41
65 -  06-14-24-30-42
66 -  06-14-29-30-40
67 -  06-14-29-30-41
68 -  06-14-29-30-42
69 -  06-14-30-40-41
70 -  06-14-30-40-42
71 -  06-14-30-41-42
72 -  06-21-24-29-30
73 -  06-21-24-30-40
74 -  06-21-24-30-41
75 -  06-21-24-30-42
76 -  06-21-29-30-40
77 -  06-21-29-30-41
78 -  06-21-29-30-42
79 -  06-21-30-40-41
80 -  06-21-30-40-42
81 -  06-21-30-41-42
82 -  06-24-29-30-40
83 -  06-24-29-30-41
84 -  06-24-29-30-42
85 -  06-24-30-40-41
86 -  06-24-30-40-42
87 -  06-24-30-41-42
88 -  06-29-30-40-41
89 -  06-29-30-40-42
90 -  06-29-30-41-42
91 -  06-30-40-41-42
92 -  06-14-21-24-29
93 -  06-14-21-24-40
94 -  06-14-21-24-41
95 -  06-14-21-24-42
96 -  06-14-21-29-40
97 -  06-14-21-29-41
98 -  06-14-21-29-42
99 -  06-14-21-40-41
100 -  06-14-21-40-42
101 -  06-14-21-41-42
102 -  06-14-24-29-40
103 -  06-14-24-29-41
104 -  06-14-24-29-42
105 -  06-14-24-40-41
106 -  06-14-24-40-42
107 -  06-14-24-41-42
108 -  06-14-29-40-41
109 -  06-14-29-40-42
110 -  06-14-29-41-42
111 -  06-14-40-41-42
112 -  06-21-24-29-40
113 -  06-21-24-29-41
114 -  06-21-24-29-42
115 -  06-21-24-40-41
116 -  06-21-24-40-42
117 -  06-21-24-41-42
118 -  06-21-29-40-41
119 -  06-21-29-40-42
120 -  06-21-29-41-42
121 -  06-21-40-41-42
122 -  06-24-29-40-41
123 -  06-24-29-40-42
124 -  06-24-29-41-42
125 -  06-24-40-41-42
126 -  06-29-40-41-42
127 -  04-14-21-24-30
128 -  04-14-21-29-30
129 -  04-14-21-30-40
130 -  04-14-21-30-41
131 -  04-14-21-30-42
132 -  04-14-24-29-30
133 -  04-14-24-30-40
134 -  04-14-24-30-41
135 -  04-14-24-30-42
136 -  04-14-29-30-40
137 -  04-14-29-30-41
138 -  04-14-29-30-42
139 -  04-14-30-40-41
140 -  04-14-30-40-42
141 -  04-14-30-41-42
142 -  04-21-24-29-30
143 -  04-21-24-30-40
144 -  04-21-24-30-41
145 -  04-21-24-30-42
146 -  04-21-29-30-40
147 -  04-21-29-30-41
148 -  04-21-29-30-42
149 -  04-21-30-40-41
150 -  04-21-30-40-42
151 -  04-21-30-41-42
152 -  04-24-29-30-40
153 -  04-24-29-30-41
154 -  04-24-29-30-42
155 -  04-24-30-40-41
156 -  04-24-30-40-42
157 -  04-24-30-41-42
158 -  04-29-30-40-41
159 -  04-29-30-40-42
160 -  04-29-30-41-42
161 -  04-30-40-41-42
162 -  04-14-21-24-29
163 -  04-14-21-24-40
164 -  04-14-21-24-41
165 -  04-14-21-24-42
166 -  04-14-21-29-40
167 -  04-14-21-29-41
168 -  04-14-21-29-42
169 -  04-14-21-40-41
170 -  04-14-21-40-42
171 -  04-14-21-41-42
172 -  04-14-24-29-40
173 -  04-14-24-29-41
174 -  04-14-24-29-42
175 -  04-14-24-40-41
176 -  04-14-24-40-42
177 -  04-14-24-41-42
178 -  04-14-29-40-41
179 -  04-14-29-40-42
180 -  04-14-29-41-42
181 -  04-14-40-41-42
182 -  04-21-24-29-40
183 -  04-21-24-29-41
184 -  04-21-24-29-42
185 -  04-21-24-40-41
186 -  04-21-24-40-42
187 -  04-21-24-41-42
188 -  04-21-29-40-41
189 -  04-21-29-40-42
190 -  04-21-29-41-42
191 -  04-21-40-41-42
192 -  04-24-29-40-41
193 -  04-24-29-40-42
194 -  04-24-29-41-42
195 -  04-24-40-41-42
196 -  04-29-40-41-42
197 -  14-21-24-29-30
198 -  14-21-24-30-40
199 -  14-21-24-30-41
200 -  14-21-24-30-42
201 -  14-21-29-30-40
202 -  14-21-29-30-41
203 -  14-21-29-30-42
204 -  14-21-30-40-41
205 -  14-21-30-40-42
206 -  14-21-30-41-42
207 -  14-24-29-30-40
208 -  14-24-29-30-41
209 -  14-24-29-30-42
210 -  14-24-30-40-41
211 -  14-24-30-40-42
212 -  14-24-30-41-42
213 -  14-29-30-40-41
214 -  14-29-30-40-42
215 -  14-29-30-41-42
216 -  14-30-40-41-42
217 -  21-24-29-30-40
218 -  21-24-29-30-41
219 -  21-24-29-30-42
220 -  21-24-30-40-41
221 -  21-24-30-40-42
222 -  21-24-30-41-42
223 -  21-29-30-40-41
224 -  21-29-30-40-42
225 -  21-29-30-41-42
226 -  21-30-40-41-42
227 -  24-29-30-40-41
228 -  24-29-30-40-42
229 -  24-29-30-41-42
230 -  24-30-40-41-42
231 -  29-30-40-41-42
232 -  14-21-24-29-40
233 -  14-21-24-29-41
234 -  14-21-24-29-42
235 -  14-21-24-40-41
236 -  14-21-24-40-42
237 -  14-21-24-41-42
238 -  14-21-29-40-41
239 -  14-21-29-40-42
240 -  14-21-29-41-42
241 -  14-21-40-41-42
242 -  14-24-29-40-41
243 -  14-24-29-40-42
244 -  14-24-29-41-42
245 -  14-24-40-41-42
246 -  14-29-40-41-42
247 -  21-24-29-40-41
248 -  21-24-29-40-42
249 -  21-24-29-41-42
250 -  21-24-40-41-42
251 -  21-29-40-41-42
252 -  24-29-40-41-42
