"id";"even";"odd";"d501";"d502"
"1";"0";"5";"0";"5"
"2";"0";"5";"1";"4"
"3";"0";"5";"2";"3"
"4";"0";"5";"3";"2"
"5";"0";"5";"4";"1"
"6";"0";"5";"5";"0"
"8";"1";"4";"0";"5"
"9";"1";"4";"1";"4"
"10";"1";"4";"2";"3"
"11";"1";"4";"3";"2"
"12";"1";"4";"4";"1"
"13";"1";"4";"5";"0"
"15";"2";"3";"0";"5"
"16";"2";"3";"1";"4"
"17";"2";"3";"2";"3"
"18";"2";"3";"3";"2"
"19";"2";"3";"4";"1"
"20";"2";"3";"5";"0"
"22";"3";"2";"0";"5"
"23";"3";"2";"1";"4"
"24";"3";"2";"2";"3"
"25";"3";"2";"3";"2"
"26";"3";"2";"4";"1"
"27";"3";"2";"5";"0"
"28";"4";"1";"0";"5"
"30";"4";"1";"1";"4"
"31";"4";"1";"2";"3"
"32";"4";"1";"3";"2"
"33";"4";"1";"4";"1"
"34";"4";"1";"5";"0"
"35";"5";"0";"0";"5"
"44";"5";"0";"1";"4"
"45";"5";"0";"2";"3"
"46";"5";"0";"3";"2"
"47";"5";"0";"4";"1"
"48";"5";"0";"5";"0"
