1 -  02-03-08-09-10
2 -  02-03-08-09-12
3 -  02-03-08-09-16
4 -  02-03-08-09-20
5 -  02-03-08-09-27
6 -  02-03-08-09-28
7 -  02-03-08-09-29
8 -  02-03-08-09-31
9 -  02-03-08-09-34
10 -  02-03-08-09-40
11 -  02-03-08-09-41
12 -  02-03-08-09-42
13 -  02-03-08-10-12
14 -  02-03-08-10-16
15 -  02-03-08-10-20
16 -  02-03-08-10-27
17 -  02-03-08-10-28
18 -  02-03-08-10-29
19 -  02-03-08-10-31
20 -  02-03-08-10-34
21 -  02-03-08-10-40
22 -  02-03-08-10-41
23 -  02-03-08-10-42
24 -  02-03-08-12-16
25 -  02-03-08-12-20
26 -  02-03-08-12-27
27 -  02-03-08-12-28
28 -  02-03-08-12-29
29 -  02-03-08-12-31
30 -  02-03-08-12-34
31 -  02-03-08-12-40
32 -  02-03-08-12-41
33 -  02-03-08-12-42
34 -  02-03-08-16-20
35 -  02-03-08-16-27
36 -  02-03-08-16-28
37 -  02-03-08-16-29
38 -  02-03-08-16-31
39 -  02-03-08-16-34
40 -  02-03-08-16-40
41 -  02-03-08-16-41
42 -  02-03-08-16-42
43 -  02-03-08-20-27
44 -  02-03-08-20-28
45 -  02-03-08-20-29
46 -  02-03-08-20-31
47 -  02-03-08-20-34
48 -  02-03-08-20-40
49 -  02-03-08-20-41
50 -  02-03-08-20-42
51 -  02-03-08-27-28
52 -  02-03-08-27-29
53 -  02-03-08-27-31
54 -  02-03-08-27-34
55 -  02-03-08-27-40
56 -  02-03-08-27-41
57 -  02-03-08-27-42
58 -  02-03-08-28-29
59 -  02-03-08-28-31
60 -  02-03-08-28-34
61 -  02-03-08-28-40
62 -  02-03-08-28-41
63 -  02-03-08-28-42
64 -  02-03-08-29-31
65 -  02-03-08-29-34
66 -  02-03-08-29-40
67 -  02-03-08-29-41
68 -  02-03-08-29-42
69 -  02-03-08-31-34
70 -  02-03-08-31-40
71 -  02-03-08-31-41
72 -  02-03-08-31-42
73 -  02-03-08-34-40
74 -  02-03-08-34-41
75 -  02-03-08-34-42
76 -  02-03-08-40-41
77 -  02-03-08-40-42
78 -  02-03-08-41-42
79 -  02-03-09-10-12
80 -  02-03-09-10-16
81 -  02-03-09-10-20
82 -  02-03-09-10-27
83 -  02-03-09-10-28
84 -  02-03-09-10-29
85 -  02-03-09-10-31
86 -  02-03-09-10-34
87 -  02-03-09-10-40
88 -  02-03-09-10-41
89 -  02-03-09-10-42
90 -  02-03-09-12-16
91 -  02-03-09-12-20
92 -  02-03-09-12-27
93 -  02-03-09-12-28
94 -  02-03-09-12-29
95 -  02-03-09-12-31
96 -  02-03-09-12-34
97 -  02-03-09-12-40
98 -  02-03-09-12-41
99 -  02-03-09-12-42
100 -  02-03-09-16-20
101 -  02-03-09-16-27
102 -  02-03-09-16-28
103 -  02-03-09-16-29
104 -  02-03-09-16-31
105 -  02-03-09-16-34
106 -  02-03-09-16-40
107 -  02-03-09-16-41
108 -  02-03-09-16-42
109 -  02-03-09-20-27
110 -  02-03-09-20-28
111 -  02-03-09-20-29
112 -  02-03-09-20-31
113 -  02-03-09-20-34
114 -  02-03-09-20-40
115 -  02-03-09-20-41
116 -  02-03-09-20-42
117 -  02-03-09-27-28
118 -  02-03-09-27-29
119 -  02-03-09-27-31
120 -  02-03-09-27-34
121 -  02-03-09-27-40
122 -  02-03-09-27-41
123 -  02-03-09-27-42
124 -  02-03-09-28-29
125 -  02-03-09-28-31
126 -  02-03-09-28-34
127 -  02-03-09-28-40
128 -  02-03-09-28-41
129 -  02-03-09-28-42
130 -  02-03-09-29-31
131 -  02-03-09-29-34
