
Wheel:  Pick 5 12-Number Full Lottery Wheel

Tickets:  792

Description:  Minimum 5-number match, if 5 numbers drawn fall within your set of 12 numbers.

Filters:  None

Input:  2, 5, 11, 14, 15, 25, 31, 9, 17, 26, 28, 37


1. 02-05-11-14-15
2. 02-05-11-14-25
3. 02-05-11-14-31
4. 02-05-09-11-14
5. 02-05-11-14-17
6. 02-05-11-14-26
7. 02-05-11-14-28
8. 02-05-11-14-37
9. 02-05-11-15-25
10. 02-05-11-15-31
11. 02-05-09-11-15
12. 02-05-11-15-17
13. 02-05-11-15-26
14. 02-05-11-15-28
15. 02-05-11-15-37
16. 02-05-11-25-31
17. 02-05-09-11-25
18. 02-05-11-17-25
19. 02-05-11-25-26
20. 02-05-11-25-28
21. 02-05-11-25-37
22. 02-05-09-11-31
23. 02-05-11-17-31
24. 02-05-11-26-31
25. 02-05-11-28-31
26. 02-05-11-31-37
27. 02-05-09-11-17
28. 02-05-09-11-26
29. 02-05-09-11-28
30. 02-05-09-11-37
31. 02-05-11-17-26
32. 02-05-11-17-28
33. 02-05-11-17-37
34. 02-05-11-26-28
35. 02-05-11-26-37
36. 02-05-11-28-37
37. 02-05-14-15-25
38. 02-05-14-15-31
39. 02-05-09-14-15
40. 02-05-14-15-17
41. 02-05-14-15-26
42. 02-05-14-15-28
43. 02-05-14-15-37
44. 02-05-14-25-31
45. 02-05-09-14-25
46. 02-05-14-17-25
47. 02-05-14-25-26
48. 02-05-14-25-28
49. 02-05-14-25-37
50. 02-05-09-14-31
51. 02-05-14-17-31
52. 02-05-14-26-31
53. 02-05-14-28-31
54. 02-05-14-31-37
55. 02-05-09-14-17
56. 02-05-09-14-26
57. 02-05-09-14-28
58. 02-05-09-14-37
59. 02-05-14-17-26
60. 02-05-14-17-28
61. 02-05-14-17-37
62. 02-05-14-26-28
63. 02-05-14-26-37
64. 02-05-14-28-37
65. 02-05-15-25-31
66. 02-05-09-15-25
67. 02-05-15-17-25
68. 02-05-15-25-26
69. 02-05-15-25-28
70. 02-05-15-25-37
71. 02-05-09-15-31
72. 02-05-15-17-31
73. 02-05-15-26-31
74. 02-05-15-28-31
75. 02-05-15-31-37
76. 02-05-09-15-17
77. 02-05-09-15-26
78. 02-05-09-15-28
79. 02-05-09-15-37
80. 02-05-15-17-26
81. 02-05-15-17-28
82. 02-05-15-17-37
83. 02-05-15-26-28
84. 02-05-15-26-37
85. 02-05-15-28-37
86. 02-05-09-25-31
87. 02-05-17-25-31
88. 02-05-25-26-31
89. 02-05-25-28-31
90. 02-05-25-31-37
91. 02-05-09-17-25
92. 02-05-09-25-26
93. 02-05-09-25-28
94. 02-05-09-25-37
95. 02-05-17-25-26
96. 02-05-17-25-28
97. 02-05-17-25-37
98. 02-05-25-26-28
99. 02-05-25-26-37
100. 02-05-25-28-37
101. 02-05-09-17-31
102. 02-05-09-26-31
103. 02-05-09-28-31
104. 02-05-09-31-37
105. 02-05-17-26-31
106. 02-05-17-28-31
107. 02-05-17-31-37
108. 02-05-26-28-31
109. 02-05-26-31-37
110. 02-05-28-31-37
111. 02-05-09-17-26
112. 02-05-09-17-28
113. 02-05-09-17-37
114. 02-05-09-26-28
115. 02-05-09-26-37
